Year,City,lat,lon,State,Purpose,Trips
1/1/1998,Adelaide,-34.9285,138.6007,South Australia,Holiday,223.5574059
1/4/1998,Adelaide,-34.9285,138.6007,South Australia,Holiday,130.287369
1/7/1998,Adelaide,-34.9285,138.6007,South Australia,Holiday,156.089398
1/10/1998,Adelaide,-34.9285,138.6007,South Australia,Holiday,182.3289795
1/1/1999,Adelaide,-34.9285,138.6007,South Australia,Holiday,185.33188
1/4/1999,Adelaide,-34.9285,138.6007,South Australia,Holiday,134.6696903
1/7/1999,Adelaide,-34.9285,138.6007,South Australia,Holiday,136.0347311
1/10/1999,Adelaide,-34.9285,138.6007,South Australia,Holiday,168.6863799
1/1/2000,Adelaide,-34.9285,138.6007,South Australia,Holiday,184.1202637
1/4/2000,Adelaide,-34.9285,138.6007,South Australia,Holiday,134.3627013
1/7/2000,Adelaide,-34.9285,138.6007,South Australia,Holiday,145.3610392
1/10/2000,Adelaide,-34.9285,138.6007,South Australia,Holiday,150.513124
1/1/2001,Adelaide,-34.9285,138.6007,South Australia,Holiday,160.2282407
1/4/2001,Adelaide,-34.9285,138.6007,South Australia,Holiday,133.1343279
1/7/2001,Adelaide,-34.9285,138.6007,South Australia,Holiday,153.773094
1/10/2001,Adelaide,-34.9285,138.6007,South Australia,Holiday,181.4068405
1/1/2002,Adelaide,-34.9285,138.6007,South Australia,Holiday,169.0469312
1/4/2002,Adelaide,-34.9285,138.6007,South Australia,Holiday,114.2086238
1/7/2002,Adelaide,-34.9285,138.6007,South Australia,Holiday,130.3304208
1/10/2002,Adelaide,-34.9285,138.6007,South Australia,Holiday,130.4795052
1/1/2003,Adelaide,-34.9285,138.6007,South Australia,Holiday,146.7703147
1/4/2003,Adelaide,-34.9285,138.6007,South Australia,Holiday,126.7641332
1/7/2003,Adelaide,-34.9285,138.6007,South Australia,Holiday,149.4360349
1/10/2003,Adelaide,-34.9285,138.6007,South Australia,Holiday,111.0500583
1/1/2004,Adelaide,-34.9285,138.6007,South Australia,Holiday,186.7720696
1/4/2004,Adelaide,-34.9285,138.6007,South Australia,Holiday,135.9060186
1/7/2004,Adelaide,-34.9285,138.6007,South Australia,Holiday,112.9890536
1/10/2004,Adelaide,-34.9285,138.6007,South Australia,Holiday,158.0570262
1/1/2005,Adelaide,-34.9285,138.6007,South Australia,Holiday,141.6333769
1/4/2005,Adelaide,-34.9285,138.6007,South Australia,Holiday,120.1251157
1/7/2005,Adelaide,-34.9285,138.6007,South Australia,Holiday,160.774783
1/10/2005,Adelaide,-34.9285,138.6007,South Australia,Holiday,149.0777328
1/1/2006,Adelaide,-34.9285,138.6007,South Australia,Holiday,191.525738
1/4/2006,Adelaide,-34.9285,138.6007,South Australia,Holiday,163.649515
1/7/2006,Adelaide,-34.9285,138.6007,South Australia,Holiday,138.133273
1/10/2006,Adelaide,-34.9285,138.6007,South Australia,Holiday,164.849392
1/1/2007,Adelaide,-34.9285,138.6007,South Australia,Holiday,185.5543828
1/4/2007,Adelaide,-34.9285,138.6007,South Australia,Holiday,180.6817518
1/7/2007,Adelaide,-34.9285,138.6007,South Australia,Holiday,134.4982174
1/10/2007,Adelaide,-34.9285,138.6007,South Australia,Holiday,155.604757
1/1/2008,Adelaide,-34.9285,138.6007,South Australia,Holiday,181.779807
1/4/2008,Adelaide,-34.9285,138.6007,South Australia,Holiday,147.5425818
1/7/2008,Adelaide,-34.9285,138.6007,South Australia,Holiday,129.5127253
1/10/2008,Adelaide,-34.9285,138.6007,South Australia,Holiday,152.0620509
1/1/2009,Adelaide,-34.9285,138.6007,South Australia,Holiday,147.951753
1/4/2009,Adelaide,-34.9285,138.6007,South Australia,Holiday,150.9474509
1/7/2009,Adelaide,-34.9285,138.6007,South Australia,Holiday,157.6999575
1/10/2009,Adelaide,-34.9285,138.6007,South Australia,Holiday,167.0237365
1/1/2010,Adelaide,-34.9285,138.6007,South Australia,Holiday,190.0186267
1/4/2010,Adelaide,-34.9285,138.6007,South Australia,Holiday,134.4421162
1/7/2010,Adelaide,-34.9285,138.6007,South Australia,Holiday,108.0330401
1/10/2010,Adelaide,-34.9285,138.6007,South Australia,Holiday,159.5471503
1/1/2011,Adelaide,-34.9285,138.6007,South Australia,Holiday,169.8550653
1/4/2011,Adelaide,-34.9285,138.6007,South Australia,Holiday,174.7726763
1/7/2011,Adelaide,-34.9285,138.6007,South Australia,Holiday,109.4812806
1/10/2011,Adelaide,-34.9285,138.6007,South Australia,Holiday,165.597184
1/1/2012,Adelaide,-34.9285,138.6007,South Australia,Holiday,169.7142825
1/4/2012,Adelaide,-34.9285,138.6007,South Australia,Holiday,124.6560046
1/7/2012,Adelaide,-34.9285,138.6007,South Australia,Holiday,148.6707777
1/10/2012,Adelaide,-34.9285,138.6007,South Australia,Holiday,153.7400777
1/1/2013,Adelaide,-34.9285,138.6007,South Australia,Holiday,171.0331777
1/4/2013,Adelaide,-34.9285,138.6007,South Australia,Holiday,127.9855815
1/7/2013,Adelaide,-34.9285,138.6007,South Australia,Holiday,130.9978837
1/10/2013,Adelaide,-34.9285,138.6007,South Australia,Holiday,118.0241892
1/1/2014,Adelaide,-34.9285,138.6007,South Australia,Holiday,181.5294045
1/4/2014,Adelaide,-34.9285,138.6007,South Australia,Holiday,159.832988
1/7/2014,Adelaide,-34.9285,138.6007,South Australia,Holiday,130.2123061
1/10/2014,Adelaide,-34.9285,138.6007,South Australia,Holiday,137.4820398
1/1/2015,Adelaide,-34.9285,138.6007,South Australia,Holiday,214.2565621
1/4/2015,Adelaide,-34.9285,138.6007,South Australia,Holiday,125.0024901
1/7/2015,Adelaide,-34.9285,138.6007,South Australia,Holiday,130.510519
1/10/2015,Adelaide,-34.9285,138.6007,South Australia,Holiday,180.5502086
1/1/2016,Adelaide,-34.9285,138.6007,South Australia,Holiday,194.9879354
1/4/2016,Adelaide,-34.9285,138.6007,South Australia,Holiday,177.1418065
1/7/2016,Adelaide,-34.9285,138.6007,South Australia,Holiday,154.1169205
1/10/2016,Adelaide,-34.9285,138.6007,South Australia,Holiday,147.1019643
1/1/1998,Adelaide,-34.9285,138.6007,South Australia,Other,58.3626891
1/4/1998,Adelaide,-34.9285,138.6007,South Australia,Other,39.4687353
1/7/1998,Adelaide,-34.9285,138.6007,South Australia,Other,38.431629
1/10/1998,Adelaide,-34.9285,138.6007,South Australia,Other,33.7915233
1/1/1999,Adelaide,-34.9285,138.6007,South Australia,Other,25.9018459
1/4/1999,Adelaide,-34.9285,138.6007,South Australia,Other,54.5493233
1/7/1999,Adelaide,-34.9285,138.6007,South Australia,Other,28.7145367
1/10/1999,Adelaide,-34.9285,138.6007,South Australia,Other,44.903216
1/1/2000,Adelaide,-34.9285,138.6007,South Australia,Other,56.4463277
1/4/2000,Adelaide,-34.9285,138.6007,South Australia,Other,80.9540403
1/7/2000,Adelaide,-34.9285,138.6007,South Australia,Other,40.340643
1/10/2000,Adelaide,-34.9285,138.6007,South Australia,Other,47.349627
1/1/2001,Adelaide,-34.9285,138.6007,South Australia,Other,36.8334712
1/4/2001,Adelaide,-34.9285,138.6007,South Australia,Other,65.0079823
1/7/2001,Adelaide,-34.9285,138.6007,South Australia,Other,54.7317678
1/10/2001,Adelaide,-34.9285,138.6007,South Australia,Other,56.2549271
1/1/2002,Adelaide,-34.9285,138.6007,South Australia,Other,41.5928159
1/4/2002,Adelaide,-34.9285,138.6007,South Australia,Other,36.6562369
1/7/2002,Adelaide,-34.9285,138.6007,South Australia,Other,50.8411344
1/10/2002,Adelaide,-34.9285,138.6007,South Australia,Other,43.8577248
1/1/2003,Adelaide,-34.9285,138.6007,South Australia,Other,40.1157815
1/4/2003,Adelaide,-34.9285,138.6007,South Australia,Other,64.3621483
1/7/2003,Adelaide,-34.9285,138.6007,South Australia,Other,44.4441751
1/10/2003,Adelaide,-34.9285,138.6007,South Australia,Other,43.3242303
1/1/2004,Adelaide,-34.9285,138.6007,South Australia,Other,42.3108254
1/4/2004,Adelaide,-34.9285,138.6007,South Australia,Other,56.0269055
1/7/2004,Adelaide,-34.9285,138.6007,South Australia,Other,59.2224325
1/10/2004,Adelaide,-34.9285,138.6007,South Australia,Other,57.6255736
1/1/2005,Adelaide,-34.9285,138.6007,South Australia,Other,49.7870409
1/4/2005,Adelaide,-34.9285,138.6007,South Australia,Other,49.2945724
1/7/2005,Adelaide,-34.9285,138.6007,South Australia,Other,31.9925869
1/10/2005,Adelaide,-34.9285,138.6007,South Australia,Other,55.8062237
1/1/2006,Adelaide,-34.9285,138.6007,South Australia,Other,50.236464
1/4/2006,Adelaide,-34.9285,138.6007,South Australia,Other,55.449475
1/7/2006,Adelaide,-34.9285,138.6007,South Australia,Other,54.776388
1/10/2006,Adelaide,-34.9285,138.6007,South Australia,Other,41.805042
1/1/2007,Adelaide,-34.9285,138.6007,South Australia,Other,41.2923221
1/4/2007,Adelaide,-34.9285,138.6007,South Australia,Other,49.9884623
1/7/2007,Adelaide,-34.9285,138.6007,South Australia,Other,55.0872166
1/10/2007,Adelaide,-34.9285,138.6007,South Australia,Other,51.7531199
1/1/2008,Adelaide,-34.9285,138.6007,South Australia,Other,43.8686265
1/4/2008,Adelaide,-34.9285,138.6007,South Australia,Other,37.5657883
1/7/2008,Adelaide,-34.9285,138.6007,South Australia,Other,46.4611953
1/10/2008,Adelaide,-34.9285,138.6007,South Australia,Other,44.106251
1/1/2009,Adelaide,-34.9285,138.6007,South Australia,Other,52.0594965
1/4/2009,Adelaide,-34.9285,138.6007,South Australia,Other,52.4399762
1/7/2009,Adelaide,-34.9285,138.6007,South Australia,Other,56.0704944
1/10/2009,Adelaide,-34.9285,138.6007,South Australia,Other,41.9836801
1/1/2010,Adelaide,-34.9285,138.6007,South Australia,Other,43.76536
1/4/2010,Adelaide,-34.9285,138.6007,South Australia,Other,55.7404317
1/7/2010,Adelaide,-34.9285,138.6007,South Australia,Other,53.0696029
1/10/2010,Adelaide,-34.9285,138.6007,South Australia,Other,55.3062409
1/1/2011,Adelaide,-34.9285,138.6007,South Australia,Other,70.1165861
1/4/2011,Adelaide,-34.9285,138.6007,South Australia,Other,56.6278031
1/7/2011,Adelaide,-34.9285,138.6007,South Australia,Other,61.9101303
1/10/2011,Adelaide,-34.9285,138.6007,South Australia,Other,57.9282548
1/1/2012,Adelaide,-34.9285,138.6007,South Australia,Other,58.2204869
1/4/2012,Adelaide,-34.9285,138.6007,South Australia,Other,88.1216209
1/7/2012,Adelaide,-34.9285,138.6007,South Australia,Other,66.8339913
1/10/2012,Adelaide,-34.9285,138.6007,South Australia,Other,42.2232428
1/1/2013,Adelaide,-34.9285,138.6007,South Australia,Other,52.7758394
1/4/2013,Adelaide,-34.9285,138.6007,South Australia,Other,52.4453248
1/7/2013,Adelaide,-34.9285,138.6007,South Australia,Other,79.5717441
1/10/2013,Adelaide,-34.9285,138.6007,South Australia,Other,101.7222527
1/1/2014,Adelaide,-34.9285,138.6007,South Australia,Other,61.9746584
1/4/2014,Adelaide,-34.9285,138.6007,South Australia,Other,66.2706781
1/7/2014,Adelaide,-34.9285,138.6007,South Australia,Other,51.6426037
1/10/2014,Adelaide,-34.9285,138.6007,South Australia,Other,68.0916207
1/1/2015,Adelaide,-34.9285,138.6007,South Australia,Other,58.8773942
1/4/2015,Adelaide,-34.9285,138.6007,South Australia,Other,69.6538907
1/7/2015,Adelaide,-34.9285,138.6007,South Australia,Other,46.7824002
1/10/2015,Adelaide,-34.9285,138.6007,South Australia,Other,40.8500667
1/1/2016,Adelaide,-34.9285,138.6007,South Australia,Other,60.7569305
1/4/2016,Adelaide,-34.9285,138.6007,South Australia,Other,80.4886879
1/7/2016,Adelaide,-34.9285,138.6007,South Australia,Other,81.7148422
1/10/2016,Adelaide,-34.9285,138.6007,South Australia,Other,83.5487847
1/1/1998,Adelaide,-34.9285,138.6007,South Australia,Visiting,241.5561095
1/4/1998,Adelaide,-34.9285,138.6007,South Australia,Visiting,170.1105142
1/7/1998,Adelaide,-34.9285,138.6007,South Australia,Visiting,232.3488833
1/10/1998,Adelaide,-34.9285,138.6007,South Australia,Visiting,180.9617928
1/1/1999,Adelaide,-34.9285,138.6007,South Australia,Visiting,199.711846
1/4/1999,Adelaide,-34.9285,138.6007,South Australia,Visiting,179.5662015
1/7/1999,Adelaide,-34.9285,138.6007,South Australia,Visiting,203.9482412
1/10/1999,Adelaide,-34.9285,138.6007,South Australia,Visiting,214.4801446
1/1/2000,Adelaide,-34.9285,138.6007,South Australia,Visiting,251.7557851
1/4/2000,Adelaide,-34.9285,138.6007,South Australia,Visiting,178.6629738
1/7/2000,Adelaide,-34.9285,138.6007,South Australia,Visiting,147.5333628
1/10/2000,Adelaide,-34.9285,138.6007,South Australia,Visiting,213.1198656
1/1/2001,Adelaide,-34.9285,138.6007,South Australia,Visiting,239.9944022
1/4/2001,Adelaide,-34.9285,138.6007,South Australia,Visiting,155.6012016
1/7/2001,Adelaide,-34.9285,138.6007,South Australia,Visiting,162.7763442
1/10/2001,Adelaide,-34.9285,138.6007,South Australia,Visiting,256.3846773
1/1/2002,Adelaide,-34.9285,138.6007,South Australia,Visiting,198.208282
1/4/2002,Adelaide,-34.9285,138.6007,South Australia,Visiting,250.1651577
1/7/2002,Adelaide,-34.9285,138.6007,South Australia,Visiting,223.3220049
1/10/2002,Adelaide,-34.9285,138.6007,South Australia,Visiting,189.6923009
1/1/2003,Adelaide,-34.9285,138.6007,South Australia,Visiting,230.0463821
1/4/2003,Adelaide,-34.9285,138.6007,South Australia,Visiting,173.4722393
1/7/2003,Adelaide,-34.9285,138.6007,South Australia,Visiting,175.135268
1/10/2003,Adelaide,-34.9285,138.6007,South Australia,Visiting,208.7591977
1/1/2004,Adelaide,-34.9285,138.6007,South Australia,Visiting,265.7548591
1/4/2004,Adelaide,-34.9285,138.6007,South Australia,Visiting,213.8409703
1/7/2004,Adelaide,-34.9285,138.6007,South Australia,Visiting,183.408378
1/10/2004,Adelaide,-34.9285,138.6007,South Australia,Visiting,231.7860383
1/1/2005,Adelaide,-34.9285,138.6007,South Australia,Visiting,261.8095196
1/4/2005,Adelaide,-34.9285,138.6007,South Australia,Visiting,176.1852599
1/7/2005,Adelaide,-34.9285,138.6007,South Australia,Visiting,165.3942311
1/10/2005,Adelaide,-34.9285,138.6007,South Australia,Visiting,182.0362393
1/1/2006,Adelaide,-34.9285,138.6007,South Australia,Visiting,218.827553
1/4/2006,Adelaide,-34.9285,138.6007,South Australia,Visiting,194.114447
1/7/2006,Adelaide,-34.9285,138.6007,South Australia,Visiting,163.068442
1/10/2006,Adelaide,-34.9285,138.6007,South Australia,Visiting,220.230351
1/1/2007,Adelaide,-34.9285,138.6007,South Australia,Visiting,246.2381097
1/4/2007,Adelaide,-34.9285,138.6007,South Australia,Visiting,220.738877
1/7/2007,Adelaide,-34.9285,138.6007,South Australia,Visiting,188.9236406
1/10/2007,Adelaide,-34.9285,138.6007,South Australia,Visiting,223.1513123
1/1/2008,Adelaide,-34.9285,138.6007,South Australia,Visiting,243.6220677
1/4/2008,Adelaide,-34.9285,138.6007,South Australia,Visiting,186.8657264
1/7/2008,Adelaide,-34.9285,138.6007,South Australia,Visiting,179.00034
1/10/2008,Adelaide,-34.9285,138.6007,South Australia,Visiting,218.8652874
1/1/2009,Adelaide,-34.9285,138.6007,South Australia,Visiting,193.9363459
1/4/2009,Adelaide,-34.9285,138.6007,South Australia,Visiting,166.5628643
1/7/2009,Adelaide,-34.9285,138.6007,South Australia,Visiting,206.980141
1/10/2009,Adelaide,-34.9285,138.6007,South Australia,Visiting,199.9165145
1/1/2010,Adelaide,-34.9285,138.6007,South Australia,Visiting,177.3642501
1/4/2010,Adelaide,-34.9285,138.6007,South Australia,Visiting,190.3976189
1/7/2010,Adelaide,-34.9285,138.6007,South Australia,Visiting,136.6111544
1/10/2010,Adelaide,-34.9285,138.6007,South Australia,Visiting,174.7713795
1/1/2011,Adelaide,-34.9285,138.6007,South Australia,Visiting,213.8757276
1/4/2011,Adelaide,-34.9285,138.6007,South Australia,Visiting,185.397534
1/7/2011,Adelaide,-34.9285,138.6007,South Australia,Visiting,145.3488
1/10/2011,Adelaide,-34.9285,138.6007,South Australia,Visiting,206.5681484
1/1/2012,Adelaide,-34.9285,138.6007,South Australia,Visiting,177.4265611
1/4/2012,Adelaide,-34.9285,138.6007,South Australia,Visiting,165.9582747
1/7/2012,Adelaide,-34.9285,138.6007,South Australia,Visiting,174.4469643
1/10/2012,Adelaide,-34.9285,138.6007,South Australia,Visiting,236.4678649
1/1/2013,Adelaide,-34.9285,138.6007,South Australia,Visiting,177.7299619
1/4/2013,Adelaide,-34.9285,138.6007,South Australia,Visiting,213.4183644
1/7/2013,Adelaide,-34.9285,138.6007,South Australia,Visiting,197.1145928
1/10/2013,Adelaide,-34.9285,138.6007,South Australia,Visiting,180.1940008
1/1/2014,Adelaide,-34.9285,138.6007,South Australia,Visiting,231.4417583
1/4/2014,Adelaide,-34.9285,138.6007,South Australia,Visiting,271.6676219
1/7/2014,Adelaide,-34.9285,138.6007,South Australia,Visiting,150.1489141
1/10/2014,Adelaide,-34.9285,138.6007,South Australia,Visiting,266.3051506
1/1/2015,Adelaide,-34.9285,138.6007,South Australia,Visiting,215.3990872
1/4/2015,Adelaide,-34.9285,138.6007,South Australia,Visiting,223.3509723
1/7/2015,Adelaide,-34.9285,138.6007,South Australia,Visiting,190.545635
1/10/2015,Adelaide,-34.9285,138.6007,South Australia,Visiting,260.6050131
1/1/2016,Adelaide,-34.9285,138.6007,South Australia,Visiting,259.8811767
1/4/2016,Adelaide,-34.9285,138.6007,South Australia,Visiting,219.1658594
1/7/2016,Adelaide,-34.9285,138.6007,South Australia,Visiting,203.7540928
1/10/2016,Adelaide,-34.9285,138.6007,South Australia,Visiting,251.2916838
1/1/1998,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0
1/4/1998,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0
1/7/1998,Adelaide Hills,-34.9385,138.7071,South Australia,Business,7.4175726
1/10/1998,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0
1/1/1999,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0.669801
1/4/1999,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0.9485634
1/7/1999,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0
1/10/1999,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0
1/1/2000,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0
1/4/2000,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0.6234467
1/7/2000,Adelaide Hills,-34.9385,138.7071,South Australia,Business,4.9205512
1/10/2000,Adelaide Hills,-34.9385,138.7071,South Australia,Business,7.2571081
1/1/2001,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0
1/4/2001,Adelaide Hills,-34.9385,138.7071,South Australia,Business,5.4055598
1/7/2001,Adelaide Hills,-34.9385,138.7071,South Australia,Business,1.8786155
1/10/2001,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0.9916063
1/1/2002,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0
1/4/2002,Adelaide Hills,-34.9385,138.7071,South Australia,Business,2.2811975
1/7/2002,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0
1/10/2002,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0
1/1/2003,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0
1/4/2003,Adelaide Hills,-34.9385,138.7071,South Australia,Business,2.265113
1/7/2003,Adelaide Hills,-34.9385,138.7071,South Australia,Business,2.4946163
1/10/2003,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0
1/1/2004,Adelaide Hills,-34.9385,138.7071,South Australia,Business,4.1064634
1/4/2004,Adelaide Hills,-34.9385,138.7071,South Australia,Business,6.1167046
1/7/2004,Adelaide Hills,-34.9385,138.7071,South Australia,Business,28.6015152
1/10/2004,Adelaide Hills,-34.9385,138.7071,South Australia,Business,5.1464077
1/1/2005,Adelaide Hills,-34.9385,138.7071,South Australia,Business,5.9550873
1/4/2005,Adelaide Hills,-34.9385,138.7071,South Australia,Business,6.9998942
1/7/2005,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0.7188813
1/10/2005,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0
1/1/2006,Adelaide Hills,-34.9385,138.7071,South Australia,Business,1.322368
1/4/2006,Adelaide Hills,-34.9385,138.7071,South Australia,Business,1.348101
1/7/2006,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0.788043
1/10/2006,Adelaide Hills,-34.9385,138.7071,South Australia,Business,2.58543
1/1/2007,Adelaide Hills,-34.9385,138.7071,South Australia,Business,3.4910835
1/4/2007,Adelaide Hills,-34.9385,138.7071,South Australia,Business,1.9444892
1/7/2007,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0.9550753
1/10/2007,Adelaide Hills,-34.9385,138.7071,South Australia,Business,7.4194128
1/1/2008,Adelaide Hills,-34.9385,138.7071,South Australia,Business,4.5110447
1/4/2008,Adelaide Hills,-34.9385,138.7071,South Australia,Business,5.1827222
1/7/2008,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0.7745446
1/10/2008,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0
1/1/2009,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0.4740745
1/4/2009,Adelaide Hills,-34.9385,138.7071,South Australia,Business,1.7390433
1/7/2009,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0
1/10/2009,Adelaide Hills,-34.9385,138.7071,South Australia,Business,7.0883161
1/1/2010,Adelaide Hills,-34.9385,138.7071,South Australia,Business,1.2614911
1/4/2010,Adelaide Hills,-34.9385,138.7071,South Australia,Business,1.5545561
1/7/2010,Adelaide Hills,-34.9385,138.7071,South Australia,Business,4.411182
1/10/2010,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0.7453911
1/1/2011,Adelaide Hills,-34.9385,138.7071,South Australia,Business,0.8340089
1/4/2011,Adelaide Hills,-34.9385,138.7071,South Australia,Business,1.486946
